"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
"1","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","0","1","1","1","2"
"1","2","1","2","2","3","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"1","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","2"
"1","2","1","2","3","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"1","2","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","3","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","3","1","2","2","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1","3","1","2","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"1","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","0","1","1","1","1"
"1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"1","3","1","1","3","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"2","1","1","1","3","4","1","1","1","1","1","1","1","1","1","1","2","1","1","0","1","2","2","1"
"2","1","1","1","3","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","2","3","2","2","1","1","1","1","1","1","1","1","1","2","1","1","0","1","1","1","2"
"3","1","1","1","4","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"3","1","1","1","4","4","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","2"
"3","1","1","2","4","5","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"3","1","1","2","4","3","2","1","1","1","1","1","1","1","1","1","1","1","1","0","1","2","2","1"
"3","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","2","1","1","0","1","1","1","2"
"3","1","1","1","4","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"1","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","1"
"1","2","1","2","2","2","2","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"1","2","1","2","2","4","1","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","1"
"1","2","1","2","2","3","2","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","2"
"1","2","1","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"1","2","1","2","1","2","2","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","2"
"1","2","1","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","2"
"1","2","1","2","1","1","1","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","1"
"1","2","1","2","3","2","2","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"1","2","1","2","3","1","2","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","1"
"1","2","1","1","1","2","2","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"1","2","1","1","1","3","1","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","1"
"1","1","1","1","2","2","2","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"2","1","1","1","3","4","1","2","1","2","2","2","2","2","1","2","1","1","2","0","1","2","2","1"
"2","1","1","1","3","5","1","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","2"
"2","1","1","2","3","2","2","2","1","2","2","2","2","2","1","2","1","1","2","0","1","1","1","2"
"3","1","1","1","4","2","2","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","2"
"3","1","1","1","4","4","1","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","1"
"3","1","1","2","4","5","1","2","1","2","2","2","2","2","1","2","1","1","2","1","1","1","1","2"
